[ 2025-06-13 21:19:58,208 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-06-13 21:20:02,114 ] 16 root - INFO - Initiate the data ingestion
[ 2025-06-13 21:20:03,803 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-13 21:20:03,803 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-13 21:20:03,804 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-13 21:20:03,898 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-13 21:20:03,898 ] 18 root - INFO - Data Initiation Completed
[ 2025-06-13 21:20:03,913 ] 22 root - INFO - Initiate the data Validation
[ 2025-06-13 21:20:03,979 ] 32 root - INFO - Required number of columns:2
[ 2025-06-13 21:20:03,979 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-13 21:20:03,979 ] 32 root - INFO - Required number of columns:2
[ 2025-06-13 21:20:03,980 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-13 21:20:04,169 ] 24 root - INFO - data Validation Completed
