[ 2025-06-13 21:16:58,964 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-06-13 21:17:01,708 ] 16 root - INFO - Initiate the data ingestion
[ 2025-06-13 21:17:03,330 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-13 21:17:03,330 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-13 21:17:03,331 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-13 21:17:03,395 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-13 21:17:03,395 ] 18 root - INFO - Data Initiation Completed
[ 2025-06-13 21:17:03,404 ] 22 root - INFO - Initiate the data Validation
[ 2025-06-13 21:17:03,433 ] 32 root - INFO - Required number of columns:2
[ 2025-06-13 21:17:03,433 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-13 21:17:03,433 ] 32 root - INFO - Required number of columns:2
[ 2025-06-13 21:17:03,433 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-13 21:17:03,596 ] 24 root - INFO - data Validation Completed
